

Hyper-Parameters: 
 - n_estimators..................: 970
 - random_state..................: 2017
 - verbose.......................: 1
 - max_features..................: 0.95
 - learning_rate.................: 0.006
 - max_depth.....................: 2
 - min_samples_leaf..............: 3
      Iter       Train Loss   Remaining Time 
      1000           0.0001           24.55s
      Iter       Train Loss   Remaining Time 
         1           0.0914            1.02m
         2           0.0876            1.37m
         3           0.0841            1.44m
         4           0.0799            1.49m
         5           0.0770            1.49m
         6           0.0741            1.54m
         7           0.0713            1.55m
         8           0.0693            1.54m
         9           0.0671            1.55m
        10           0.0650            1.58m
        20           0.0501            1.63m
        30           0.0412            1.63m
        40           0.0347            1.64m
        50           0.0299            1.63m
        60           0.0260            1.63m
        70           0.0229            1.62m
        80           0.0202            1.61m
        90           0.0182            1.59m
       100           0.0164            1.57m
       200           0.0063            1.43m
       300           0.0027            1.30m
       400           0.0011            1.18m
       500           0.0005            1.06m
       600           0.0002           56.44s
       700           0.0001           48.58s
       800           0.0001           39.27s
       900           0.0001           30.64s
      1000           0.0001           23.30s
Fold Wise AUPRC  [0.18, 0.16, 0.10, 0.05, 0.51]
AUC -   0.7513 		AUPRC -   0.1665 

      Threshold       Precision          Recall        F1-Score     Skill Score         FP         FN         TP         TN
         0.0060          0.4000          0.1818          0.2500          0.1795          9         27          6       3918
         0.0010          0.1600          0.2424          0.1928          0.2317         42         25          8       3885
         0.2500          0.7500          0.0909          0.1622          0.0907          1         30          3       3926
         0.5000          0.7500          0.0909          0.1622          0.0907          1         30          3       3926
         0.7500          0.7500          0.0909          0.1622          0.0907          1         30          3       3926



Best Parameters...
 - z_score.......................: 0.25
 - learning_rate.................: 0.016
 - min_samples_leaf..............: 14.0
 - n_estimators..................: 1540.0
 - max_features..................: 0.6
 - max_depth.....................: 9.0
